what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1341189435072
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1341189435079
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1341189435091
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1341189435101
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1341189435102
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1341189435112
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1341189435122
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1341189435136
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341189435150
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341189435150
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341189435162
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341189435175
os,sysinfo,,,"win32",1341189435179
arch,sysinfo,,,"x86_64",1341189435180
ws,sysinfo,,,"win32",1341189435180
locale,sysinfo,,,"en_US",1341189435180
processors,sysinfo,,,"2",1341189435180
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341189435180
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1341189435180
java.specification.name,sysinfo,,,"Java Platform API Specification",1341189435180
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341189435180
java.specification.version,sysinfo,,,"1.7",1341189435180
java.vendor,sysinfo,,,"Oracle Corporation",1341189435180
java.version,sysinfo,,,"1.7.0_03",1341189435180
java.vm.info,sysinfo,,,"mixed mode",1341189435180
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341189435180
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341189435180
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341189435180
java.vm.specification.version,sysinfo,,,"1.7",1341189435180
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341189435180
java.vm.version,sysinfo,,,"22.1-b02",1341189435180
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1341189438385
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1341189438414
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1341189438442
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1341189449154
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1341189449203
error,log,,,"Unable to find Action Set: org.chromium.debug.ui.ChromiumDebugActionSet",1341189449204
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1341189449291
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341189449326
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1341189449587
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1341189449900
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1341189450133
started,bundle,org.chromium.debug.ui,0.3.4.201202250214,"org.chromium.debug.ui",1341189450183
started,bundle,org.chromium.debug.core,0.3.4.201202250214,"org.chromium.debug.core",1341189450190
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1341189450224
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1341189450315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1341189450358
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1341189450358
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1341189452943
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1341189452962
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341189453310
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1341189453355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1341189453397
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1341189453397
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341189456552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189467120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189482183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341189482198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341189482198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189489977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189514877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189517167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189556753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189558402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189564112
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1341189564145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189567102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189592099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341189592114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1341189593961
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1341189600349
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341189600614
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341189600649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.showIn",1341189600696
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1341189600733
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1341189600789
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1341189600806
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1341189600820
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341189603153
closed,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341189603159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189606453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189609592
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1341189609592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189619438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189623110
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341189629674
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341189630009
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341189630041
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1341189630209
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1341189630234
